fill,channel,h,t1,t2,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BSX_y,BSX_y_std,BSX_z,BSX_z_std,BSY_x,BSY_x_std,BSY_z,BSY_z_std,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std,chi2
8236,38,10,1665163499,1665163800,48045,0,0.017596196483546073,0.0015867143933482458,0.021695361353183736,0.0013490218101659696,0.020083649757927338,0.0007828687259183991,0.19184522,165.43994,-68.255066,9447.478,-1.3344496,79.1205,-65.4249,3169.1199,0.11349662,0.95214254,0.11121941,1.2077758,72.59607951883223
8236,39,10,1665163800,1665164099,47555,0,0.018917097357247226,0.0017803115677330478,0.019139658091171467,0.001464761028795657,0.016632434809437095,0.0008458226299630379,-0.05391734,15.073925,-5.5347967,864.64056,-4.0170555,549.5677,-152.48126,20808.047,0.12738842,0.94066054,0.10237699,1.203915,72.53245000616461
8236,40,10,1665164099,1665164400,47968,0,0.01783228704868378,0.0018803205937504147,0.01831015333244183,0.00212527651645315,0.017423583685751025,0.0011929181672995,-2.1621923,507.2169,-77.37795,17366.082,-1.030346,151.0779,-48.275375,4234.969,0.12974836,0.95776844,0.105325915,1.2119775,74.56323604738256
8236,41,10,1665164400,1665164699,47725,0,0.01779048367202546,0.0016404748404614394,0.022688898275140784,0.0013357888534797063,0.01897159732774568,0.0008119488910342913,-0.0023275183,20.904222,-6.3482738,835.3933,-1.3422652,64.77946,-52.13047,2011.0974,0.11855675,0.9557928,0.10359433,1.1984545,72.15791855569509
8236,42,10,1665164699,1665165000,47903,0,0.018529164369772366,0.0017300232368479274,0.02025288806939568,0.0014505149060879251,0.017291590548929175,0.0008363007386333159,0.7774291,122.69496,22.444803,4377.4756,-1.1023661,54.72423,-46.022186,2094.5354,0.12289236,0.94006896,0.104048386,1.2027763,70.0159047214452
8236,43,10,1665165000,1665165299,47506,0,0.01639501675982663,0.0016777442700266626,0.01940842250742,0.0019027976907071316,0.0186148505439106,0.001092014406455592,-0.1760063,26.923746,11.987851,5588.014,-0.37651083,162.17258,-13.674833,5656.4346,0.12239951,0.9496629,0.09713785,1.2055943,74.74343801002702
8236,44,10,1665165299,1665165600,47898,0,0.01759506031302066,0.001585988090162499,0.021919089064881422,0.001356006398110874,0.019905954657728875,0.0008041669251796953,1.1401998,399.60907,51.39568,15520.522,-1.0819266,76.48617,-43.051758,2545.858,0.11412374,0.96045613,0.10405523,1.2124668,76.43598012311428
8236,45,10,1665165600,1665165899,47183,0,0.017278515637055125,0.0016354533459700393,0.02086568573389437,0.0015074624204144006,0.0190560091118785,0.0008606229589909076,0.31229094,45.687695,-0.940258,1381.919,1.1435078,539.41187,41.431065,20824.31,0.12543292,0.9481398,0.10290618,1.1874712,72.4266829995481
8236,46,10,1665165899,1665166200,47815,0,0.018151768830178522,0.0016007282194914069,0.02105940655224995,0.0013494462140163123,0.019902329349460183,0.0007779976275115955,-0.92246443,132.34111,12.812692,8966.718,-1.5638001,895.63824,-32.65192,26093.64,0.124656714,0.9636176,0.09967852,1.1977912,76.30807169387273
8236,47,10,1665166200,1665166499,47226,0,0.015419866203976423,0.0016052752613125582,0.02324874612037757,0.0015092838892768502,0.019153364979073502,0.0009349140555386277,-0.08869386,30.706957,-14.963071,1669.0883,-1.108195,117.0278,-50.995224,4596.187,0.118750565,0.94171304,0.095500246,1.1881492,72.82037601451808
8236,48,10,1665166499,1665166800,48183,0,0.017781021054758928,0.0016198408775034562,0.022178569800025007,0.0013269209155990728,0.019430713731331373,0.0008075300701405053,-0.25628668,60.145935,-15.581053,2566.0923,-0.71975076,330.5871,-26.327003,12037.668,0.12196746,0.9593987,0.09743126,1.1984769,75.37760348292635
8236,49,10,1665166800,1665167099,47380,0,0.01603590105417707,0.0016691410840055237,0.021390608473557407,0.0015817534939682742,0.01817722663505577,0.0009723340523870565,0.50162476,110.048294,7.4167786,4177.152,-0.42540938,962.0662,6.670405,39742.1,0.12101556,0.92909944,0.107112676,1.1875616,76.86371726459396
8236,50,10,1665167099,1665167400,47740,0,0.01580114085993381,0.001535298994088441,0.0226336223594652,0.001499501387610843,0.02012563327337765,0.0009041808862074799,0.14240342,28.238058,-2.4507995,1135.9116,-1.6696731,254.45857,-80.30467,9646.493,0.12195487,0.94847006,0.103965245,1.1843884,74.6693123567295
8236,51,10,1665167400,1665167699,47036,0,0.015660213465363643,0.0016329696701822827,0.020530774633853256,0.0018296462637603789,0.01884045445936773,0.0010631429606764303,-0.0038953007,28.796488,-9.29215,1094.6969,14.243977,3191.7107,262.44504,61334.84,0.123316325,0.9397834,0.10807786,1.2000314,75.6135807064274
8236,52,10,1665167699,1665168000,47380,0,0.016719234427186175,0.0017609737040895912,0.01857416145374006,0.001682589330549671,0.016895480310202174,0.0009686373283729725,-1.4229947,259.25082,-40.363655,5384.9033,-1.0880153,53.054096,-46.01121,2041.3412,0.12502551,0.9360532,0.110589035,1.197801,75.4947026845717
8236,53,10,1665168000,1665168299,47344,0,0.014932445611528788,0.0016788718267140568,0.019756961325675053,0.0019268049874889177,0.018131810585428537,0.0010968472137995733,-0.083998755,18.14046,-12.3982725,831.5884,1.3828998,342.3235,58.284935,13798.862,0.11817102,0.9281301,0.104333006,1.1885095,73.03154668214201
8236,54,10,1665168299,1665168600,47573,0,0.013488498552660766,0.0022372777328410615,0.015066188801814501,0.003174237172234775,0.015805426461334687,0.001620437151944638,-0.035655707,29.121794,-7.38822,857.94855,-1.5276562,82.53034,-63.46561,3105.7983,0.12857223,0.9419363,0.109119676,1.1938967,73.49095149456681
8236,55,10,1665168600,1665168899,46973,0,0.01741345257616317,0.0015911533268946482,0.020377519307094128,0.001575473428239993,0.01977201768880958,0.000931085896778542,0.09947152,25.594452,-0.07298001,1311.2585,-1.9938298,99.30974,-74.776085,3635.5977,0.12901495,0.9662246,0.1025881,1.1919171,72.37018107767085
8236,56,10,1665168899,1665169200,47356,0,0.013731900516638057,0.001552461174311709,0.02106170609505248,0.0019427799121646844,0.019589383551494817,0.0011292803629196196,0.6849962,122.985115,81.68438,18937.014,-0.785129,106.278725,-29.563496,3801.352,0.12208403,0.92775184,0.10178929,1.1894684,71.57718183431032
8236,57,10,1665169200,1665169499,47193,0,0.013072263090337488,0.001601558022601618,0.021791685482717413,0.0021427836501557006,0.018585001762607134,0.0012841836792564301,0.05619057,32.49521,-4.7915816,1179.7842,-1.2305373,73.83608,-45.675777,2464.2122,0.121104345,0.9274906,0.09958234,1.1842464,73.46720446514237
8236,58,10,1665169499,1665169800,47163,0,0.011099571331606883,0.0024569297131886297,0.013169007854765422,0.004171229535310472,0.015834754012624724,0.0020241183336619575,-0.07947361,17.067188,-15.787946,1161.47,-0.6681394,77.54808,-23.336792,3036.8665,0.13584074,0.9335403,0.10237831,1.1745888,72.29062031966261
8236,59,10,1665169800,1665170099,46559,0,0.014114801496582563,0.0017672414770393413,0.02092265435546345,0.0030030983941325244,0.01762173313318113,0.0019270337198401492,-0.057776235,27.692692,-16.52891,1315.8184,-0.12631343,157.50642,5.7716956,7192.1562,0.12582026,0.93356824,0.1002542,1.1729475,74.23949800076409
8236,60,10,1665170099,1665170400,46856,0,0.013332925431838866,0.001578136252171597,0.019575954553577905,0.002014708714313952,0.019782560283370106,0.0010978138023430128,0.059026998,32.304104,5.8744373,1907.5367,0.58655953,212.63318,7.383493,6046.351,0.11571275,0.9341509,0.11016385,1.1873037,70.46841500464676
8236,61,10,1665170400,1665170699,46753,0,0.011919569527565232,0.0020068605824238445,0.01817329936524774,0.003691205926075079,0.01789325475144617,0.001952099980080866,-0.13025212,16.93939,-7.5133114,940.2677,-1.7746636,134.63312,-69.309616,4746.8687,0.110652745,0.9195977,0.10709318,1.1829163,71.89265729160613
8236,62,10,1665170699,1665171000,47179,0,0.014929473671798588,0.0017247676473744755,0.018890862294560412,0.0019031739814553469,0.01762050302701292,0.0010439134092878506,0.069808684,18.087614,-9.523393,807.8668,-0.071101725,304.43097,-6.9519143,11533.125,0.11555213,0.9316124,0.10035456,1.191694,72.66303477493683
8236,63,10,1665171000,1665171299,45822,0,0.013658824226811306,0.0016352181438039487,0.020594450106020193,0.001879982951835571,0.019050787350904146,0.00104259107755297,-0.059310496,18.576666,-11.949718,1164.1765,-0.2034544,139.5886,-17.753454,4024.4607,0.10595581,0.9372199,0.101728894,1.1758506,63.798198867207624
8236,64,10,1665171299,1665171600,47238,0,0.01269359855019181,0.0017185625658994869,0.018879090845044372,0.0022259738590498825,0.017506739600170556,0.001142306337526107,0.07378821,62.465797,1.492894,2378.013,-1.6843337,125.28102,-64.99785,4987.0825,0.11406506,0.91668344,0.102758944,1.1759709,72.84320078571349
8236,65,10,1665171600,1665171899,47120,0,0.010818128000572386,0.0020720255300154117,0.014279383500497327,0.0035512996916730443,0.01676305947783368,0.001648052670321934,-0.08663864,14.336564,-9.641853,650.57544,-1.0279843,250.60912,-34.905,7749.3633,0.12382983,0.92760175,0.10246982,1.1861911,70.71531603493635
8236,66,10,1665171899,1665172200,46849,0,0.009042496933169109,0.0015612010522740583,0.01170107651087302,0.002558987471014916,0.014202695651206874,0.0012184184792213846,-0.064407915,31.480133,-6.370655,1640.4668,-1.1515911,148.48535,-42.636543,5333.4863,0.1187318,0.90998644,0.1134496,1.1777054,72.88631144312549
8236,67,10,1665172200,1665172499,46164,0,0.013524283796543635,0.0016886104845320743,0.0195843500151215,0.0020692977293366357,0.018232291081334923,0.0011405002275525072,0.40673614,76.76043,1.6335425,3196.6772,-1.3840073,169.90868,-58.526337,4152.0312,0.12124443,0.9343159,0.105037384,1.1822753,71.04415660196723
8236,68,10,1665172499,1665172800,47199,0,0.009358716095363734,0.0017667906677792389,0.01833620747780042,0.0037564469662701334,0.018579372867794992,0.001877094244618011,0.22181545,44.891388,-87.370636,16817.957,-13.67921,2788.192,576.6533,133204.31,0.11735356,0.90645057,0.09988885,1.1850071,70.21310402466287
8236,69,10,1665172800,1665173099,46666,0,0.010398018570837553,0.0014625472564897268,0.021694070338181135,0.002337029017971481,0.020482748732026754,0.0012953263379488645,-0.3044636,56.383717,-18.671621,2294.9685,-1.3445657,148.08214,-45.843388,5425.3096,0.10618542,0.923443,0.112156674,1.1626538,71.47372987807479
8236,70,10,1665173099,1665173400,47001,0,0.012819962128462759,0.0017452053055808658,0.019772361093386228,0.00270844207856394,0.018003723234574,0.0015206870782120997,-0.4815095,99.23634,-28.843288,3573.873,-2.1775844,348.02344,-61.826973,11418.338,0.11204386,0.9215539,0.102908164,1.1841562,67.0897637427924
